,Unnamed: 0,children_education___output,crop_sales___output,expenditure___output,has_medical_assistance___output,no_food_deficiency___output,crop_diversification___policy,has_bank_account___policy,has_borrowed___policy,number_of_animals_owned___policy,number_of_hired_workers___policy,number_of_ploughs_owned___policy,owns_land_certificate___policy,quantity_of_fertilizers_used___policy,quantity_of_pesticides_used___policy,uses_credit___policy,uses_irrigation___policy,attended_school,distance_to_road,distance_to_market,household_head_age,household_head_is_divorced,household_head_is_male,household_head_is_monogamous,household_head_is_polygamous,household_head_is_separated,household_head_is_widowed,household_head_never_married,household_size,land_surface,literacy,lives_in_arusha,lives_in_daressalaam,lives_in_dodoma,lives_in_geita,lives_in_iringa,lives_in_kagera,lives_in_kaskazinipemba,lives_in_kaskaziniunguja,lives_in_katavi,lives_in_kigoma,lives_in_kilimanjaro,lives_in_kusinipemba,lives_in_kusiniunguja,lives_in_manyara,lives_in_mara,lives_in_mbeya,lives_in_mjinimagharibi,lives_in_morogoro,lives_in_mtwara,lives_in_mwanza,lives_in_njombe,lives_in_pwani,lives_in_rukwa,lives_in_ruvuma,lives_in_shinyanga,lives_in_simiyu,lives_in_singida,lives_in_tabora,lives_in_tanga,rural_household,weight,clusterid,latitude,longitude
Unnamed: 0,1.0,0.03706938699431376,-0.055890284968704566,-0.029621646960023066,0.004241413753095822,0.1176840094978329,0.029035092353119043,-0.10003265477016743,-0.05907832089999202,0.02095038556087172,0.0823465022379782,0.04647517239821194,-0.04227277512211706,-0.04531942948987588,-0.12205944201248362,-0.1441318058497257,-0.011451719163015135,-0.13332615641172538,0.035916790865121236,0.03446207373070125,0.07938967272407227,0.025960733582199958,0.039041733804222184,0.01144928844706531,0.14744581877224078,-0.08044756649195552,0.016887523874846117,-0.11829050908536579,0.23197094180761058,-0.013901754983303658,-0.13743496772097982,-0.26499220827050673,-0.3823088028152215,-0.25140115796066465,0.19550839016358726,-0.03542312295646877,0.12110718577238802,0.24279573935076415,0.164934805789091,0.12937918781980337,0.04705302350538526,-0.2992539560222363,0.22225641042398822,0.11097662111566972,0.12299752274192266,0.13181489023224435,-0.020826748108941015,0.4340111378921734,-0.23657559373324086,-0.08680159913233101,0.1445960815925919,0.11199594116358272,-0.17416322629138226,0.01914889120684891,-0.04386502633269593,0.06865113265539817,0.20784588910514495,-0.0032446191302772003,0.016701067174828246,-0.23793505863861028,0.22773919014682853,-0.42626967093976226,0.9999963316775818,0.21357663799607232,-0.14030259412313725
children_education___output,0.03706938699431376,1.0,0.015751374119055504,0.22808526760866588,-0.0481934221884304,0.05738481278584598,0.19380246065765006,0.14003124571744452,-0.0344581193431473,-0.026900232493185138,0.0937166965036185,-0.04543276573698723,0.12982784502024128,0.1399343233299455,0.09631395421089774,0.05224097201200348,0.05180852459771317,0.6546226583008153,-0.050101087363949935,-0.07052836240374538,0.3466827980002288,0.006928730209749873,-0.05674968202728105,0.01121205203629548,0.0015100985035456874,0.013346417747830755,0.1033372326403278,-0.02175799546114925,0.17448948570576883,-0.038324923539437596,0.5037486610655326,-0.06627239099682075,0.0016422303716784794,-0.034947612070548605,-0.013183326589267103,0.047671899458943894,0.0024362556248761187,0.02603065202116128,-0.005864201035874656,-0.05036074660682805,-0.030402936761182085,0.06930781002465744,0.03187503086789204,0.032034041341470254,-0.006393512167439935,-0.013593409044353707,0.052447633001907544,0.10357750736346234,-0.011165038117082506,0.006459678516927441,0.01985267929868722,0.049233263571929704,-0.017509058408851662,-0.02911999672500779,0.0440725423787656,-0.06539059323994419,-0.06864783684172816,-0.009790335690633561,-0.11505975254905887,-0.004480403855416646,-0.04834950941593935,-0.06035894642895373,0.03701480993206793,-0.03890475546377876,0.10974219701725264
crop_sales___output,-0.055890284968704566,0.015751374119055504,1.0,0.31674195645579506,-0.005156833597905826,0.14147093253659698,0.04962179374425477,0.1145779805682873,0.09685226547341116,0.2817111411237926,0.13183798094517013,0.21855766755534128,0.05087094335247315,0.20285663969082385,0.30529694034812016,0.07511211599097282,0.06766921386001822,0.08256527806023298,-0.04554790180098054,0.0005855019113999535,-0.036044548664482375,-0.07193127281917694,0.2145691864890902,0.1715701963570062,0.05165122912867341,-0.11202829369331993,-0.10803100253121312,-0.04684179562240238,0.17627112215002008,0.35053444487641044,0.12477727609792759,-0.0014551274781921014,0.02914837511609713,0.04006327688834299,0.013229124850230445,-0.03320345878609162,-0.05787274602575524,-0.05839757594845235,-0.05790394189652887,-0.013627096784761187,-0.05107051690794355,0.01471770142026873,-0.07138445023674565,-0.0458365771301068,0.04136888006678753,-0.03574407677427335,0.09468375711377017,-0.027300452267409476,-0.03897865108656214,-0.006869683498045598,-0.04662470243915805,-0.05050185196856329,-0.01798456221477303,0.04396801400837132,-0.022007139523247253,0.056163010488244375,0.04744841589773008,0.06744469231677905,0.038843757188460434,-0.024907520932692183,0.059529916374991346,0.049935006892012364,-0.055743191495915674,-0.06367631615886932,-0.03447269636860986
expenditure___output,-0.029621646960023066,0.22808526760866588,0.31674195645579506,1.0,0.0796633838201218,0.23019791280528107,0.1075905313218137,0.4339261981249817,0.09573294392673933,0.29231807914698416,0.16263803655664347,0.11322749667508031,0.23983430257366647,0.2905816622481176,0.08715062996577194,0.14615165134588504,0.06024161494268994,0.2784082597203549,-0.08784670535635056,-0.013292370310626215,0.03344522777782467,-0.10313678495792857,0.20375064506362708,0.2137390763761516,0.038286499422792324,-0.12043116605878595,-0.12269285590148983,-0.056017108789353315,0.3954817770934667,-0.14055818376651358,0.32317346400182356,-0.0048323611264086365,0.2769585956340478,-0.04141037565614359,0.006612806555441855,-0.07633853303656991,-0.04702656773263717,0.016717818451981586,0.00814051764262165,-0.06099111439003362,-0.120106768222402,-0.0035359448590274786,-0.02035853655997283,-0.03171494576938928,-0.02666604381985548,-0.021411791550895138,-0.025671859658471748,0.15863024595040537,-0.004265217200644025,-0.11352040716676445,0.0026843180895748495,-0.04823547832704054,0.007945667357266574,-0.0716972100965469,-0.059074075902977176,-0.010211063964088982,-0.026205750428759566,0.03072972985555486,-0.05423879109702632,-0.011294197835367744,-0.24486701304843486,-0.14090138431711977,-0.029636000523104257,-0.1324095477216779,0.2024448639671616
has_medical_assistance___output,0.004241413753095822,-0.0481934221884304,-0.005156833597905826,0.0796633838201218,1.0,-0.07777219007695925,0.0931101099215153,0.04207456204148621,0.08850898852065006,-0.07004899801330054,0.11098344897524719,-0.0663527900976324,0.018325284954003658,0.0034735083306486046,0.05228343563611976,0.060033005760915525,0.01750463252029697,0.01876256510119812,-0.04960199657183652,-0.030327971809063672,-0.07825506513274219,0.02970659445618204,-0.0595695565942773,-0.04069268402848861,-0.00832600570504384,0.035346341635750685,0.0062906190263250115,-0.029643692784954104,-0.10283380366333059,-0.061306670812477274,0.01694569196953846,-0.05312013912489347,0.06571356923239664,-0.06350329589358178,0.0036692430659226753,-0.026666653277110437,0.02445697692657624,-0.008419653058987585,-0.0032771684422224,-0.05588667866383474,-0.041260061666128424,-0.006967238013287194,0.0002105168308114314,-0.00517453231975295,-0.015174437848980317,0.10778179456742308,-0.013878033169365547,-0.040753200235951775,0.01870808460711487,0.03462626168344928,0.10072160461097816,0.0013916210352905873,0.011369374164795066,0.00010171819757275704,0.004238721857294199,0.014337239252345315,-0.0106182122609859,-0.05489195586093628,-0.07627116038505856,-0.014208493123152744,-0.07900261146888027,0.02114475436674901,0.004235414434952528,0.040177162113339465,0.02725197714070363
no_food_deficiency___output,0.1176840094978329,0.05738481278584598,0.14147093253659698,0.23019791280528107,-0.07777219007695925,1.0,-0.053679340695879776,0.2166991647239563,0.004907112327214943,0.018097426265226996,0.10445157700527821,0.003507342104161691,0.03409209390160247,0.10598782284822816,-0.02335897297514684,-0.020916089673109397,0.004767774991242218,0.1292212253796774,0.051760315030302345,0.006426468787515916,-0.04913226330285463,-0.053857744502425066,0.05919800195582918,0.06297947382336917,0.01863286942667349,-0.05226628556937774,-0.03706397177506682,0.03054667982044981,-0.0324603917865806,-0.14106358431331306,0.15695585900447565,-0.025834284031617652,0.07827122421433623,-0.027974155431627422,-0.010329538187374823,0.03618469934535366,-0.008561815915886523,0.078895560449144,0.06564892195413828,0.012460186800128684,-0.030507122518959373,0.006574245936516692,0.06081358239468287,0.05747036073223852,0.006867370360236296,-0.05684377572010331,0.010876237023062906,0.18827430136295373,-0.045766470542743846,-0.11486672948323923,-0.07973970093761204,0.027776681783838495,-0.05557246727071348,-0.024554340514818602,-0.06418072616381774,-0.023609895928622327,-0.07277869298554512,0.0172955263595841,-0.0063820296050129234,-0.017558021891531037,-0.09457000417938816,-0.16338136309710816,0.11768058146537648,-0.14713469619828198,0.12858942499085646
crop_diversification___policy,0.029035092353119043,0.19380246065765006,0.04962179374425477,0.1075905313218137,0.0931101099215153,-0.053679340695879776,1.0,0.02503513122877637,-0.10747170119873191,-0.04747890047955643,0.10961714773856644,-0.06678030179435646,0.02690024876666379,0.16887025006535133,0.14887261978803867,0.04269899801846136,0.06424076929254618,0.16357294929950417,-0.1282585278521731,-0.12300342498947325,0.1562567528943395,0.003774390975699141,0.041482642712791146,0.03532433197291663,-0.018278835757323725,-0.04942652664172021,0.028804734645633403,-0.07021276428332603,0.0724640891589497,0.14306804326588074,0.11592847797664789,-0.0973625535776138,-0.016896688756313654,-0.07094740270335316,0.09783489107382387,-0.06371390203913697,0.26082103733798373,-0.03056616941420726,-0.0287798490647797,-0.1127639722116779,0.04020164964824057,0.09677192895376965,-0.055137348239660953,-0.047771325263646636,-0.013189270884810048,0.009313713106936336,0.009416114096956746,-0.03756533538800347,-0.03955098037047991,0.08034374432698949,0.12531961745601827,0.01350004862963597,-0.010041093709287852,-0.08023136501243902,-0.043402160452612124,-0.04699762835782862,-0.09884201682827688,-0.10900212244609009,-0.07365401989041868,0.05588776576989032,0.16111628441109074,0.03847833419298261,0.029017050320894706,0.22910016833465965,-0.10315889045501878
has_bank_account___policy,-0.10003265477016743,0.14003124571744452,0.1145779805682873,0.4339261981249817,0.04207456204148621,0.2166991647239563,0.02503513122877637,1.0,0.12869162365121425,0.051160205874727145,0.18268295355142875,-0.09639968259949337,0.12116850475461105,0.1422473673364023,0.08171833583188604,0.19514334752389087,0.07247946964278526,0.3018918348210398,-0.08119396228016916,-0.02143970660148655,-0.02254804558672667,-0.04698552826956418,0.09094056106548314,0.08352816613952893,-0.03885711695413249,-0.035697784598656676,-0.08120775812026518,0.10249217597358938,-0.023899853917823777,-0.24742679135806142,0.3535807801017021,-0.0001452603716090765,0.2595181075097687,-0.02288138447097051,-0.009221997236826696,-0.03191383939987075,-0.03804656004380884,-0.03789659122745571,-0.028936910402340883,-0.01761413970239056,-0.06954031634336427,0.02770505010149253,-0.0006299836524650791,-0.027458229966555434,-0.004461585731021472,-0.05006731313030599,-0.03723834117554953,0.11550789513934652,0.03241665895199834,-0.05419363688401915,-0.04703618871306166,-0.02570221181567626,-0.016909123795167392,-0.044444039459383744,-0.01186970141420594,-0.04127608807152637,-0.08915968254862096,0.005031401697510081,-0.06492980914045539,-0.01636743051117153,-0.284826792243042,-0.09804529487772393,-0.1000172109728848,-0.14677505320732137,0.188742296821377
has_borrowed___policy,-0.05907832089999202,-0.0344581193431473,0.09685226547341116,0.09573294392673933,0.08850898852065006,0.004907112327214943,-0.10747170119873191,0.12869162365121425,1.0,0.06122113116468121,-0.001311146994124381,0.02241802488201987,-0.0020113144941928045,0.06666418798139134,0.12990626765671595,0.20975966752889788,0.011826930668709514,0.010590320414486109,-0.10266861642198392,0.09684299569721445,-0.13604359967522878,-0.025437020608807176,-0.021724101567128503,-0.011502167445291799,-0.01032706297660627,0.027782599369889093,-0.020024112350546363,0.053556894488497,-0.01997021589345785,0.015440923826915625,0.03578219341661309,0.13613734368751612,0.08245676137571463,0.08770216022942828,-0.02443741889678235,0.078510334856587,-0.16936697902677417,-0.07713872958140496,-0.06193497247123435,-0.0077263616394891,-0.10852173028050294,0.0576463085760865,-0.09121654032494315,0.00419832730992996,0.06813751016864944,0.11292839371215536,-0.017124545715449566,-0.03457029658368826,0.0237537118171227,-0.08560304187470427,0.009594596366393452,-0.02160953253468689,-0.07955794781376194,-0.004779700262957916,-0.10840550095673251,0.09518989370675031,0.18884194328980872,0.09158002830725609,-0.047752249662730735,-0.021413298742312875,-0.05804893682560091,0.04687609859260116,-0.05907793177096165,-0.0524624817165235,0.025442548633730085
number_of_animals_owned___policy,0.02095038556087172,-0.026900232493185138,0.2817111411237926,0.29231807914698416,-0.07004899801330054,0.018097426265226996,-0.04747890047955643,0.051160205874727145,0.06122113116468121,1.0,0.10747819780316267,0.3496170369335925,0.04580198936287366,0.19208371598547497,0.08249247195326857,0.04665014430898869,0.010642526814685313,-0.071617890465223,-0.0538206472254392,0.05987130769242446,0.09288933598583014,-0.02301917562352499,0.11943696558172429,0.022949574560295685,0.09641048558817597,-0.06534253690495519,-0.0906423173896331,-0.03755350434962429,0.29995450376102545,0.34442658446815944,-0.053237615286635405,0.04658976370777055,-0.0379812623256624,0.02639632619924707,-0.017048916264620392,-0.01230025821562255,-0.1296705330663658,-0.06141321504128958,0.012194662254226139,-0.0020607182674812334,-0.08176624312946487,-0.037975358645233895,-0.03815159170283565,-0.07356900280524376,0.018990227143842034,0.0005235517057659677,-0.008452167428297923,-0.035075029062890194,-0.04179698468687456,-0.010605307673558977,0.06312231437358107,-0.005779136100685377,0.012196032449008942,-0.013726166281060517,-0.048865145100151136,0.10904411218889995,0.09602946791343576,0.009932304505747093,0.10318751148490159,-0.021618169697090583,0.11339676461127977,-0.03658987551979121,0.020951852627644308,-0.0155050089081792,-0.01937247794236354
