feature,cluster,lift
number_of_axe_owned___policy,0,1.052757273
number_of_axe_owned___policy,1,1.075458993
number_of_axe_owned___policy,2,1.255369455
number_of_axe_owned___policy,3,0.7428492576
number_of_hired_workers___policy,0,1.591078761
number_of_hired_workers___policy,1,0.971392553
number_of_hired_workers___policy,2,1.415004164
number_of_hired_workers___policy,3,1.594333383
number_of_oxen_owned___policy,0,0.9586255006
number_of_oxen_owned___policy,1,1.113778111
number_of_oxen_owned___policy,2,0.973235023
number_of_oxen_owned___policy,3,1.01322586
number_of_water_storage_pit_owned___policy,0,1.578014184
number_of_water_storage_pit_owned___policy,1,1.315455234
number_of_water_storage_pit_owned___policy,2,1.27484973
number_of_water_storage_pit_owned___policy,3,1.22366207
quantity_of_chemical_fertilizers_used___policy,0,1.232332615
quantity_of_chemical_fertilizers_used___policy,1,1.069649178
quantity_of_chemical_fertilizers_used___policy,2,0.9841416101
quantity_of_chemical_fertilizers_used___policy,3,1.160879285
uses_extension_program___policy,0,1.316851316
uses_extension_program___policy,1,1.131159046
uses_extension_program___policy,2,1.064675225
uses_extension_program___policy,3,0.9392448209
